domain,problem,algorithm,unexplained_errors,error,raw_memory,p7_settings_file,cost,coverage,dead_ends,evaluations,expansions,generated,initial_h_value,plan_length,planner_time,search_time,translator_facts,reformulation_time,reformulated_plan_valid,rebuild_plan_valid,solvable,plan_length_difference,macros_used,unique_macros_used,macros_generated,total_walker_paths,total_walker_actions_generated,walker_average_branching_factor,walker_median_branching_factor,walker_average_path_length,walker_median_path_length
gripper,prob03.pddl,greedyResumeWalker, ,success,10536,1s_easy,28.0,1,0,174,43,278, ,28,0.01,0.01,44,90097.0,True,True,True,6,6,2,4,14242,9129243,8,2,2,2
gripper,prob04.pddl,greedyResumeWalker, ,success,10672,1s_easy,34.0,1,0,206,51,375, ,34,0.02,0.01,54,90120.0,True,True,True,11,8,3,3,6600,6461121,10,2,2,2
gripper,prob05.pddl,greedyResumeWalker, ,success,10800,1s_easy,43.0,1,0,278,69,576, ,43,0.02,0.01,64,90108.0,True,True,True,10,10,3,3,4834,6479271,12,2,2,2
gripper,prob06.pddl,greedyResumeWalker, ,success,10916,1s_easy,52.0,1,0,318,79,741, ,52,0.03,0.01,74,90096.0,True,True,True,13,12,2,5,3545,6361150,14,2,2,2
gripper,prob07.pddl,greedyResumeWalker, ,success,11060,1s_easy,60.0,1,0,366,91,937, ,60,0.03,0.01,84,90104.0,True,True,True,15,14,2,2,2736,6530819,16,2,2,2
gripper,prob08.pddl,greedyResumeWalker, ,success,11312,1s_easy,69.0,1,0,414,103,1160, ,69,0.03,0.01,94,90112.0,True,True,True,16,16,1,1,2289,6651362,18,2,2,2
gripper,prob09.pddl,greedyResumeWalker, ,success,11452,1s_easy,76.0,1,0,462,115,1415, ,76,0.030869800000000003,0.01,104,90116.0,True,True,True,19,18,2,3,1894,6534540,20,2,2,2
gripper,prob10.pddl,greedyResumeWalker, ,success,11572,1s_easy,82.0,1,0,518,129,1721, ,82,0.055985400000000005,0.0119994,114,90152.0,True,True,True,23,20,4,4,1517,6149380,22,2,2,2
gripper,prob11.pddl,greedyResumeWalker, ,success,11856,1s_easy,93.0,1,0,558,139,1982, ,93,0.02,0.01,124,90076.0,True,True,True,22,22,1,1,1530,7492125,24,2,2,2
gripper,prob12.pddl,greedyResumeWalker, ,success,11968,1s_easy,96.0,1,0,594,148,2304, ,96,0.0537756,0.0119988,134,90137.0,True,True,True,27,24,4,7,1338,7408816,26,2,2,2
